instanceID, capacity, shortageCost, solutionValue, solutionTimeMs, statesExplored,instance,n_items,coeff_of_var
8e5f5fd1fa4c8408098e958e305a8fbd170823b231bce6327755e3fbc796c208,232.2169282654879,10.0,303.2915187429958,18790,50363,P05_STRONGLY_CORRELATED,25,0.2
05ebb47445bd0ec7310f60b986cf47a2f7dc8aa8410d3d0db2a08a15b4e3b5f6,300.9566867083967,10.0,422.1214304323392,14080,35646,P05_STRONGLY_CORRELATED,25,0.2
b0fb52a766e8dd876c41987cda62802fc3c07c63df9d370dba1373ced75461e1,520.5735598916084,10.0,628.3453958983437,23678,56117,P05_STRONGLY_CORRELATED,25,0.2
58d338b26fc7c48ae1a384d0929381b1bd1a4384ce000424aa2698623b41a9c5,464.7722271921675,10.0,613.8617057905201,13010,32893,P05_STRONGLY_CORRELATED,25,0.2
c0cc78c51914ab5dad7c13d279ec4b456252bca86c0cd46494aa0cb6b90227cc,661.4370441737321,10.0,805.2923963079587,18918,43252,P05_STRONGLY_CORRELATED,25,0.2
afdbc61e060854dfbfe091ac06dfd9a9d3704e75523a7381cfd86e50173a2cbc,822.4512923072126,10.0,973.1628823545268,21650,50497,P05_STRONGLY_CORRELATED,25,0.2
46e96edb230125f829b8d557d49907d24fde8f4e0e98a6d7c0687ab79e41fa9f,1016.0004901594976,10.0,1180.3753831560844,25270,61355,P05_STRONGLY_CORRELATED,25,0.2
0195fe9dbb1a1ac5f5aa73ead8103077f4ca58886de9c060a0bbe72b0dcc7af4,928.6541312738166,10.0,1105.015145831448,18064,40491,P05_STRONGLY_CORRELATED,25,0.2
870c33c94a6c590d975ebcf5f091ff28a6d5931edb4e4c0700d81f1f5fa000b5,1015.8717017981576,10.0,1195.04790343523,18145,41503,P05_STRONGLY_CORRELATED,25,0.2
b1778d122d13b0f5096da69a5846ca9c33a08eda0ce10bd92d6a5e0a9cc715ec,135.3585912258334,10.0,109.28139086985075,6148,48779,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
