instanceID, capacity, shortageCost, simulatedSolutionValue, simulationRuns, milpSolutionValue, milpOptimalityGap, piecewisePartitions, piecewiseSamples, milpMaxLinearizationError, simulatedLinearizationError,cplexSolutionTimeMs, simplexIterations, exploredNodes,instance,n_items,corr_coeff,coeff_of_var
c84a047b5c3f5f488d31939db3770b1660699df717fef640c8efa622d5736746,459.20206817367233,10.0,674.6096651969831,100000,724.2568879100146,0.0,50,0,0.0035495332723519,-7.359399853622723,39399.0,19452,6799,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
6916b29749e4eac53de445a842b9b1b93e99816fc8a13974f66b5c4c58def6cb,858.3955171856044,10.0,1127.4330777791597,100000,1232.8544727136018,0.0,50,0,0.0035528315756263,-9.350567852958822,42070.0,16361,6846,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
5c4204aee838daf8aead928644620aee88d57070736a89708ee58246972fdbc9,1386.0180019648064,10.0,1655.892965220006,100000,1836.9431989495608,0.0,50,0,0.0033852192969083,-10.933691822617288,71682.0,394704,192347,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
a60abb4204e34c112a82d15224ec7407b3e316af37ae2f6cc294bb9f15570453,1705.4035930376886,10.0,2067.3353950133305,100000,2281.446796752889,7.561261968787424e-05,50,0,0.0031323273295455,-10.35687785620184,29248.0,12084,6839,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
d57db82fb49507cfc751576231d32cb197413c1b81d9ef3bf0ca00ac35a7541d,2189.061141156589,10.0,2509.4928817353302,100000,2797.5915908652123,0.0,50,0,0.0031102966783481,-11.480355701613307,33999.0,11322,6899,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
b6be48039a7ad8c2bd6ccc9cd5f9540861661779d89ff207c036deb1777934c1,2886.177375009661,10.0,3131.315516761647,100000,3528.7543264079973,0.0,50,0,0.0032136663968739,-12.692391026036711,49129.0,33146,24940,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
69ef553683c004878f5332144d02b4f757e1a1fa4dca580135f64e5dc224e976,3216.8335332140696,10.0,3434.85014499713,100000,3930.432390977298,0.0,50,0,0.0031238201244653,-14.428060179044056,36154.0,10532,6848,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
f3cb07311a6a15e5c80ec78cbb22f5d2dbe40b29b2dfca477d58fe8974852c19,3490.5161734854346,10.0,3699.2996174406194,100000,4260.294426113198,0.0,50,0,0.0030031029231398,-15.164892457689216,46411.0,56062,22150,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
03f873df8534ba8416b404718d1ba69119aa7e2dac8b657f9642a80d8a59b0bb,3592.479997210422,10.0,3837.521080302605,100000,4416.276780050988,0.0,50,0,0.0030473724680628,-15.08149890613099,52203.0,160041,47623,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
f309482563cfb64950876fc97b7040ea753898bd501791264ef293eea3b69e2c,4798.834635110607,10.0,4934.661525270256,100000,5640.214409716034,5.296396766373057e-05,50,0,0.0029143825083784,-14.297898261768577,37659.0,13006,6825,P05_ALMOST_STRONGLY_CORRELATED,100,0.95,0.1
