instanceID,capacity,shortageCost,B&BoptimalKnapsack,B&BsolutionValue,B&BsolutionTimeMs,B&BexploredNodes,HEURoptimalKnapsack,HEURsolutionValue,HEURsolutionTimeMs,HEURoptGap,instance,n_items,coeff_of_var
e593016e709588b5ced18cd8a649005bbdbca217d5abe1cd53bc5ad35e12dfc7,907.9861870330462,10.0,[0.	1.	1.	0.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	0.	0.],1808.2264551932344,165613.80737304688,475,[0.	1.	1.	0.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	0.	0.],1808.2264551932344,2070.39404296875,0.0,P05_WEAKLY_CORRELATED,25,0.2
40940cc3dc5c847e6ff531d3c39a6fdb4ec6893cbb223fa631cbcec70bdd2ef8,1015.652441537617,10.0,[1.	0.	1.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	0.	1.	1.	1.],1982.0345633692496,31923.62841796875,59,[1.	0.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	0.	1.	1.	0.	1.	1.	1.],1982.0305830562515,1961.9326171875,0.0002008195554218,P05_WEAKLY_CORRELATED,25,0.2
6cce107a405b638a2817feac3e2616d4fc0b0eacd9db6c5e002fcfa3787ac330,1078.0584145275466,10.0,[1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.],2131.9278487288543,91789.02001953124,279,[1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.],2131.9278487288543,1835.65673828125,0.0,P05_WEAKLY_CORRELATED,25,0.2
243a89235d27790f044f0c29862ea09466fc2ba57b1457766c70ee4a90ccb7a9,1105.9222745163063,10.0,[1.	1.	1.	0.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.],2288.4877234589303,2516.851318359375,3,[1.	1.	1.	0.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.],2288.4877234589303,1851.22607421875,0.0,P05_WEAKLY_CORRELATED,25,0.2
c7c0e94d96f0bdde8ef48a0121f779d3984ee25050cb34f2a7946ac24887831e,112.63131849856067,10.0,[1.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	1.	0.],162.14894245250352,218268.52392578125,1183,[1.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	1.	0.],162.14894245250352,2557.443115234375,0.0,P05_STRONGLY_CORRELATED,25,0.1
3501a51ba19bb796d0eddb2784abe8e35615dec255dc3c9a9f37de25cf73a648,232.2169282654879,10.0,[0.	1.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	1.	1.	0.	0.	1.	1.	1.	0.	0.	0.	1.	0.],307.70388394375794,266537.44921875,1405,[0.	0.	0.	0.	1.	0.	0.	1.	1.	0.	0.	0.	0.	1.	0.	1.	0.	1.	1.	0.	0.	0.	0.	1.	0.],291.39358661985017,2384.311767578125,5.300647204989121,P05_STRONGLY_CORRELATED,25,0.1
2876c28049161f2ef2e90f245d24f7299ba9cbd6f602669cbbc6337883089744,300.9566867083967,10.0,[1.	1.	1.	1.	0.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.],425.37043708357714,313772.62841796875,1147,[1.	1.	1.	1.	1.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.],417.44443751386734,3092.025390625,1.8633169770922504,P05_STRONGLY_CORRELATED,25,0.1
c170110f52cd761f0c4ef3288592ea826d084196bfed81c01188e8745bc0029e,520.5735598916084,10.0,[0.	1.	0.	1.	0.	0.	0.	1.	0.	1.	0.	0.	1.	1.	1.	1.	0.	1.	0.	1.	1.	1.	0.	1.	1.],633.8472113501772,234295.25415039065,825,[0.	1.	0.	1.	0.	0.	0.	1.	0.	1.	0.	0.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	0.	1.	0.],625.3744506575968,2944.664794921875,1.3367197237536712,P05_STRONGLY_CORRELATED,25,0.1
00c76cc7bcd3b2e60af91fd0e5702e1d6b5a5bb39f2099dac97ca88208edcba1,464.7722271921675,10.0,[0.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.	1.	0.	0.	1.	1.	0.	1.	1.],619.3098997642479,14160.834228515623,15,[0.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.	1.	0.	0.	1.	1.	0.	1.	1.],619.3098997642479,2760.24169921875,0.0,P05_STRONGLY_CORRELATED,25,0.1
a0c7c6d0bb8f2ad1b0aaee4eece97815a9f1719f1157053fa01af16d33dd838d,661.4370441737321,10.0,[1.	1.	1.	1.	1.	1.	0.	0.	1.	1.	0.	1.	0.	0.	1.	1.	1.	1.	1.	1.	1.	0.	1.	0.	1.],810.1249710214522,243222.98559570312,523,[0.	1.	1.	1.	1.	1.	0.	0.	0.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	0.	1.],806.3779058098472,2415.77978515625,0.4625292819798499,P05_STRONGLY_CORRELATED,25,0.1
